ID,HP,AT,RG,SP
1,50,34,55,10
2,50,80,55,15
3,80,70,15,25
4,90,85,30,30
5,70,80,25,40
6,70,75,45,25
7,80,50,55,35
8,120,35,45,35
9,220,65,85,40
10,80,55,75,25
11,50,34,55,10
12,50,80,55,15
13,80,70,15,25
14,90,85,30,30
15,70,80,25,40
16,70,75,45,25
17,80,50,55,35
18,120,35,45,35
19,220,65,85,40
20,80,55,75,25
21,50,34,55,10
22,50,80,55,15
23,80,70,15,25
24,90,85,30,30
25,70,80,25,40
26,70,75,45,25
27,80,50,55,35
28,120,35,45,35
29,220,65,85,40
30,80,55,75,25
31,50,34,55,10
32,50,80,55,15
33,80,70,15,25
34,90,85,30,30
35,70,80,25,40
36,70,75,45,25
37,80,50,55,35
38,120,35,45,35
39,220,65,85,40
40,80,55,75,25
41,50,34,55,10
42,50,80,55,15
43,80,70,15,25
44,90,85,30,30
45,70,80,25,40
46,70,75,45,25
47,80,50,55,35
48,120,35,45,35
49,220,65,85,40
50,80,55,75,25
